"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","15959","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","11106","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","16217","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","22630","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","19653","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","16036","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","13048","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","25624","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","17422","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","14822","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","16856","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","11336","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","11590","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","12271","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","11417","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","21733","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","11651","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","19260","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442023","AZ","040019442023","=""040019442023""","25649","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443011","AZ","040019443011","=""040019443011""","14695","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443012","AZ","040019443012","=""040019443012""","14816","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443013","AZ","040019443013","=""040019443013""","15494","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443021","AZ","040019443021","=""040019443021""","10668","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443022","AZ","040019443022","=""040019443022""","15949","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","12989","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","15403","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","15841","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","12223","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","13690","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","15933","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","11027","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","18455","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","24779","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","26885","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","19201","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","29969","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","16038","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","14080","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","14288","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","14118","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","16249","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702011","AZ","040019702011","=""040019702011""","36184","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702012","AZ","040019702012","=""040019702012""","30659","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702021","AZ","040019702021","=""040019702021""","17672","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702022","AZ","040019702022","=""040019702022""","17850","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702023","AZ","040019702023","=""040019702023""","12520","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","34620","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","40135","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","34879","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","29652","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","44815","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","28303","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","23639","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","25867","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","42447","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","24886","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001011","AZ","040030001011","=""040030001011""","21415","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001021","AZ","040030001021","=""040030001021""","26814","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","30460","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","38008","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","27076","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","19274","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","16667","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","20613","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","35568","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","34049","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","39354","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","27039","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","27084","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","34190","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","20772","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","32543","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","29121","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","36360","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003041","AZ","040030003041","=""040030003041""","36901","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003042","AZ","040030003042","=""040030003042""","22892","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030003051","AZ","040030003051","=""040030003051""","44086","2019-2023","2022","Census","Arizona (State)"
