"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Road Network Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","0.62","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","0.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","0.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","0.78","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","0.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","0.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","1.29","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","2.49","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","3.73","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","2.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","0.68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","0.68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","0.75","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","0.77","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","4.59","2021","2010","EPA Smart Location Database","Arizona (State)"
