"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","1.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442023","AZ","040019442023","=""040019442023""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443011","AZ","040019443011","=""040019443011""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443012","AZ","040019443012","=""040019443012""","1.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443013","AZ","040019443013","=""040019443013""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443021","AZ","040019443021","=""040019443021""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443022","AZ","040019443022","=""040019443022""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","1.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","1.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","1.4","2019-2023","2021","Census","Arizona (State)"
