"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","122172","2019-2023","2022","Census","California (State)"
"Block Group","060014001002","CA","060014001002","=""060014001002""","150885","2019-2023","2022","Census","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","126878","2019-2023","2022","Census","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","108601","2019-2023","2022","Census","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","108225","2019-2023","2022","Census","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","94797","2019-2023","2022","Census","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","91428","2019-2023","2022","Census","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","128133","2019-2023","2022","Census","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","134402","2019-2023","2022","Census","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","83907","2019-2023","2022","Census","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","125137","2019-2023","2022","Census","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","68875","2019-2023","2022","Census","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","57119","2019-2023","2022","Census","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","63858","2019-2023","2022","Census","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","66340","2019-2023","2022","Census","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","90291","2019-2023","2022","Census","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","86278","2019-2023","2022","Census","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","49682","2019-2023","2022","Census","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","65623","2019-2023","2022","Census","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","54395","2019-2023","2022","Census","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","79355","2019-2023","2022","Census","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","56833","2019-2023","2022","Census","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","98258","2019-2023","2022","Census","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","76891","2019-2023","2022","Census","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","61763","2019-2023","2022","Census","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","45268","2019-2023","2022","Census","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","69131","2019-2023","2022","Census","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","68959","2019-2023","2022","Census","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","61465","2019-2023","2022","Census","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","33100","2019-2023","2022","Census","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","84224","2019-2023","2022","Census","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","153121","2019-2023","2022","Census","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","65241","2019-2023","2022","Census","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","59496","2019-2023","2022","Census","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","70430","2019-2023","2022","Census","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","100139","2019-2023","2022","Census","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","92533","2019-2023","2022","Census","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","59375","2019-2023","2022","Census","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","76440","2019-2023","2022","Census","California (State)"
"Block Group","060014013002","CA","060014013002","=""060014013002""","59864","2019-2023","2022","Census","California (State)"
"Block Group","060014013003","CA","060014013003","=""060014013003""","85238","2019-2023","2022","Census","California (State)"
"Block Group","060014014001","CA","060014014001","=""060014014001""","44383","2019-2023","2022","Census","California (State)"
"Block Group","060014014002","CA","060014014002","=""060014014002""","38736","2019-2023","2022","Census","California (State)"
"Block Group","060014014003","CA","060014014003","=""060014014003""","29469","2019-2023","2022","Census","California (State)"
"Block Group","060014015001","CA","060014015001","=""060014015001""","34051","2019-2023","2022","Census","California (State)"
"Block Group","060014015002","CA","060014015002","=""060014015002""","41862","2019-2023","2022","Census","California (State)"
"Block Group","060014015003","CA","060014015003","=""060014015003""","67730","2019-2023","2022","Census","California (State)"
"Block Group","060014016001","CA","060014016001","=""060014016001""","55002","2019-2023","2022","Census","California (State)"
"Block Group","060014016002","CA","060014016002","=""060014016002""","73620","2019-2023","2022","Census","California (State)"
"Block Group","060014017001","CA","060014017001","=""060014017001""","78881","2019-2023","2022","Census","California (State)"
"Block Group","060014017002","CA","060014017002","=""060014017002""","91740","2019-2023","2022","Census","California (State)"
"Block Group","060014017003","CA","060014017003","=""060014017003""","66041","2019-2023","2022","Census","California (State)"
"Block Group","060014018001","CA","060014018001","=""060014018001""","54073","2019-2023","2022","Census","California (State)"
"Block Group","060014018002","CA","060014018002","=""060014018002""","39568","2019-2023","2022","Census","California (State)"
"Block Group","060014022001","CA","060014022001","=""060014022001""","64791","2019-2023","2022","Census","California (State)"
"Block Group","060014022002","CA","060014022002","=""060014022002""","45342","2019-2023","2022","Census","California (State)"
"Block Group","060014022003","CA","060014022003","=""060014022003""","75947","2019-2023","2022","Census","California (State)"
"Block Group","060014024001","CA","060014024001","=""060014024001""","33935","2019-2023","2022","Census","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","42190","2019-2023","2022","Census","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","45586","2019-2023","2022","Census","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","12841","2019-2023","2022","Census","California (State)"
"Block Group","060014026001","CA","060014026001","=""060014026001""","51758","2019-2023","2022","Census","California (State)"
"Block Group","060014027001","CA","060014027001","=""060014027001""","31011","2019-2023","2022","Census","California (State)"
"Block Group","060014027002","CA","060014027002","=""060014027002""","70112","2019-2023","2022","Census","California (State)"
"Block Group","060014028011","CA","060014028011","=""060014028011""","61421","2019-2023","2022","Census","California (State)"
"Block Group","060014028012","CA","060014028012","=""060014028012""","24649","2019-2023","2022","Census","California (State)"
"Block Group","060014028013","CA","060014028013","=""060014028013""","97247","2019-2023","2022","Census","California (State)"
"Block Group","060014028021","CA","060014028021","=""060014028021""","18332","2019-2023","2022","Census","California (State)"
"Block Group","060014028022","CA","060014028022","=""060014028022""","45192","2019-2023","2022","Census","California (State)"
"Block Group","060014029001","CA","060014029001","=""060014029001""","115315","2019-2023","2022","Census","California (State)"
"Block Group","060014029002","CA","060014029002","=""060014029002""","42604","2019-2023","2022","Census","California (State)"
"Block Group","060014030001","CA","060014030001","=""060014030001""","65080","2019-2023","2022","Census","California (State)"
"Block Group","060014030002","CA","060014030002","=""060014030002""","45481","2019-2023","2022","Census","California (State)"
"Block Group","060014030003","CA","060014030003","=""060014030003""","36031","2019-2023","2022","Census","California (State)"
"Block Group","060014031001","CA","060014031001","=""060014031001""","104685","2019-2023","2022","Census","California (State)"
"Block Group","060014031002","CA","060014031002","=""060014031002""","86074","2019-2023","2022","Census","California (State)"
"Block Group","060014033011","CA","060014033011","=""060014033011""","47360","2019-2023","2022","Census","California (State)"
"Block Group","060014033012","CA","060014033012","=""060014033012""","32250","2019-2023","2022","Census","California (State)"
"Block Group","060014033021","CA","060014033021","=""060014033021""","143573","2019-2023","2022","Census","California (State)"
"Block Group","060014033022","CA","060014033022","=""060014033022""","83229","2019-2023","2022","Census","California (State)"
"Block Group","060014033023","CA","060014033023","=""060014033023""","127418","2019-2023","2022","Census","California (State)"
"Block Group","060014034011","CA","060014034011","=""060014034011""","97753","2019-2023","2022","Census","California (State)"
"Block Group","060014034012","CA","060014034012","=""060014034012""","73440","2019-2023","2022","Census","California (State)"
"Block Group","060014034013","CA","060014034013","=""060014034013""","50945","2019-2023","2022","Census","California (State)"
"Block Group","060014034021","CA","060014034021","=""060014034021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014034022","CA","060014034022","=""060014034022""","75441","2019-2023","2022","Census","California (State)"
"Block Group","060014035011","CA","060014035011","=""060014035011""","66294","2019-2023","2022","Census","California (State)"
"Block Group","060014035012","CA","060014035012","=""060014035012""","69910","2019-2023","2022","Census","California (State)"
"Block Group","060014035013","CA","060014035013","=""060014035013""","76106","2019-2023","2022","Census","California (State)"
"Block Group","060014035014","CA","060014035014","=""060014035014""","118108","2019-2023","2022","Census","California (State)"
"Block Group","060014035021","CA","060014035021","=""060014035021""","69490","2019-2023","2022","Census","California (State)"
"Block Group","060014035022","CA","060014035022","=""060014035022""","73426","2019-2023","2022","Census","California (State)"
"Block Group","060014036001","CA","060014036001","=""060014036001""","96362","2019-2023","2022","Census","California (State)"
"Block Group","060014036002","CA","060014036002","=""060014036002""","77908","2019-2023","2022","Census","California (State)"
"Block Group","060014036003","CA","060014036003","=""060014036003""","79834","2019-2023","2022","Census","California (State)"
"Block Group","060014037011","CA","060014037011","=""060014037011""","62847","2019-2023","2022","Census","California (State)"
"Block Group","060014037012","CA","060014037012","=""060014037012""","76164","2019-2023","2022","Census","California (State)"
"Block Group","060014037021","CA","060014037021","=""060014037021""","45766","2019-2023","2022","Census","California (State)"
"Block Group","060014037022","CA","060014037022","=""060014037022""","100225","2019-2023","2022","Census","California (State)"
"Block Group","060014038001","CA","060014038001","=""060014038001""","103035","2019-2023","2022","Census","California (State)"
"Block Group","060014038002","CA","060014038002","=""060014038002""","105221","2019-2023","2022","Census","California (State)"
"Block Group","060014038003","CA","060014038003","=""060014038003""","77599","2019-2023","2022","Census","California (State)"
"Block Group","060014038004","CA","060014038004","=""060014038004""","97788","2019-2023","2022","Census","California (State)"
"Block Group","060014039001","CA","060014039001","=""060014039001""","83502","2019-2023","2022","Census","California (State)"
"Block Group","060014039002","CA","060014039002","=""060014039002""","119776","2019-2023","2022","Census","California (State)"
"Block Group","060014039003","CA","060014039003","=""060014039003""","54332","2019-2023","2022","Census","California (State)"
"Block Group","060014040001","CA","060014040001","=""060014040001""","78794","2019-2023","2022","Census","California (State)"
"Block Group","060014040002","CA","060014040002","=""060014040002""","84382","2019-2023","2022","Census","California (State)"
"Block Group","060014040003","CA","060014040003","=""060014040003""","83527","2019-2023","2022","Census","California (State)"
"Block Group","060014041011","CA","060014041011","=""060014041011""","91632","2019-2023","2022","Census","California (State)"
"Block Group","060014041012","CA","060014041012","=""060014041012""","90474","2019-2023","2022","Census","California (State)"
"Block Group","060014041013","CA","060014041013","=""060014041013""","96473","2019-2023","2022","Census","California (State)"
"Block Group","060014041021","CA","060014041021","=""060014041021""","92567","2019-2023","2022","Census","California (State)"
"Block Group","060014041022","CA","060014041022","=""060014041022""","71113","2019-2023","2022","Census","California (State)"
"Block Group","060014042001","CA","060014042001","=""060014042001""","126113","2019-2023","2022","Census","California (State)"
"Block Group","060014042002","CA","060014042002","=""060014042002""","132756","2019-2023","2022","Census","California (State)"
"Block Group","060014042003","CA","060014042003","=""060014042003""","125844","2019-2023","2022","Census","California (State)"
"Block Group","060014043001","CA","060014043001","=""060014043001""","116971","2019-2023","2022","Census","California (State)"
"Block Group","060014043002","CA","060014043002","=""060014043002""","100663","2019-2023","2022","Census","California (State)"
"Block Group","060014043003","CA","060014043003","=""060014043003""","134121","2019-2023","2022","Census","California (State)"
"Block Group","060014044001","CA","060014044001","=""060014044001""","135932","2019-2023","2022","Census","California (State)"
"Block Group","060014044002","CA","060014044002","=""060014044002""","119666","2019-2023","2022","Census","California (State)"
"Block Group","060014044003","CA","060014044003","=""060014044003""","103314","2019-2023","2022","Census","California (State)"
"Block Group","060014044004","CA","060014044004","=""060014044004""","84416","2019-2023","2022","Census","California (State)"
"Block Group","060014045011","CA","060014045011","=""060014045011""","123853","2019-2023","2022","Census","California (State)"
"Block Group","060014045021","CA","060014045021","=""060014045021""","106713","2019-2023","2022","Census","California (State)"
"Block Group","060014045022","CA","060014045022","=""060014045022""","112774","2019-2023","2022","Census","California (State)"
"Block Group","060014045023","CA","060014045023","=""060014045023""","119007","2019-2023","2022","Census","California (State)"
"Block Group","060014045024","CA","060014045024","=""060014045024""","120812","2019-2023","2022","Census","California (State)"
"Block Group","060014046001","CA","060014046001","=""060014046001""","150414","2019-2023","2022","Census","California (State)"
"Block Group","060014046002","CA","060014046002","=""060014046002""","136391","2019-2023","2022","Census","California (State)"
"Block Group","060014046003","CA","060014046003","=""060014046003""","108629","2019-2023","2022","Census","California (State)"
"Block Group","060014046004","CA","060014046004","=""060014046004""","116671","2019-2023","2022","Census","California (State)"
"Block Group","060014047001","CA","060014047001","=""060014047001""","117774","2019-2023","2022","Census","California (State)"
"Block Group","060014047002","CA","060014047002","=""060014047002""","111166","2019-2023","2022","Census","California (State)"
"Block Group","060014048001","CA","060014048001","=""060014048001""","69242","2019-2023","2022","Census","California (State)"
"Block Group","060014048002","CA","060014048002","=""060014048002""","101992","2019-2023","2022","Census","California (State)"
"Block Group","060014049001","CA","060014049001","=""060014049001""","105161","2019-2023","2022","Census","California (State)"
"Block Group","060014049002","CA","060014049002","=""060014049002""","69892","2019-2023","2022","Census","California (State)"
"Block Group","060014049003","CA","060014049003","=""060014049003""","64236","2019-2023","2022","Census","California (State)"
"Block Group","060014049004","CA","060014049004","=""060014049004""","74249","2019-2023","2022","Census","California (State)"
"Block Group","060014050001","CA","060014050001","=""060014050001""","101908","2019-2023","2022","Census","California (State)"
"Block Group","060014050002","CA","060014050002","=""060014050002""","98973","2019-2023","2022","Census","California (State)"
"Block Group","060014050003","CA","060014050003","=""060014050003""","85618","2019-2023","2022","Census","California (State)"
"Block Group","060014051001","CA","060014051001","=""060014051001""","129250","2019-2023","2022","Census","California (State)"
"Block Group","060014051002","CA","060014051002","=""060014051002""","157796","2019-2023","2022","Census","California (State)"
"Block Group","060014051003","CA","060014051003","=""060014051003""","106333","2019-2023","2022","Census","California (State)"
"Block Group","060014051004","CA","060014051004","=""060014051004""","113723","2019-2023","2022","Census","California (State)"
"Block Group","060014051005","CA","060014051005","=""060014051005""","126082","2019-2023","2022","Census","California (State)"
"Block Group","060014052001","CA","060014052001","=""060014052001""","54989","2019-2023","2022","Census","California (State)"
"Block Group","060014052002","CA","060014052002","=""060014052002""","32991","2019-2023","2022","Census","California (State)"
"Block Group","060014052003","CA","060014052003","=""060014052003""","123949","2019-2023","2022","Census","California (State)"
"Block Group","060014052004","CA","060014052004","=""060014052004""","84246","2019-2023","2022","Census","California (State)"
"Block Group","060014053011","CA","060014053011","=""060014053011""","78586","2019-2023","2022","Census","California (State)"
"Block Group","060014053012","CA","060014053012","=""060014053012""","75820","2019-2023","2022","Census","California (State)"
"Block Group","060014053013","CA","060014053013","=""060014053013""","79070","2019-2023","2022","Census","California (State)"
"Block Group","060014053021","CA","060014053021","=""060014053021""","58332","2019-2023","2022","Census","California (State)"
"Block Group","060014053022","CA","060014053022","=""060014053022""","56020","2019-2023","2022","Census","California (State)"
"Block Group","060014054011","CA","060014054011","=""060014054011""","53196","2019-2023","2022","Census","California (State)"
"Block Group","060014054012","CA","060014054012","=""060014054012""","45192","2019-2023","2022","Census","California (State)"
"Block Group","060014054013","CA","060014054013","=""060014054013""","39511","2019-2023","2022","Census","California (State)"
"Block Group","060014054021","CA","060014054021","=""060014054021""","29745","2019-2023","2022","Census","California (State)"
"Block Group","060014054022","CA","060014054022","=""060014054022""","35493","2019-2023","2022","Census","California (State)"
"Block Group","060014055001","CA","060014055001","=""060014055001""","38757","2019-2023","2022","Census","California (State)"
"Block Group","060014055002","CA","060014055002","=""060014055002""","38286","2019-2023","2022","Census","California (State)"
"Block Group","060014055003","CA","060014055003","=""060014055003""","45298","2019-2023","2022","Census","California (State)"
"Block Group","060014055004","CA","060014055004","=""060014055004""","72140","2019-2023","2022","Census","California (State)"
"Block Group","060014056001","CA","060014056001","=""060014056001""","56772","2019-2023","2022","Census","California (State)"
"Block Group","060014056002","CA","060014056002","=""060014056002""","74453","2019-2023","2022","Census","California (State)"
"Block Group","060014056003","CA","060014056003","=""060014056003""","51181","2019-2023","2022","Census","California (State)"
"Block Group","060014057001","CA","060014057001","=""060014057001""","49669","2019-2023","2022","Census","California (State)"
"Block Group","060014057002","CA","060014057002","=""060014057002""","39774","2019-2023","2022","Census","California (State)"
"Block Group","060014057003","CA","060014057003","=""060014057003""","45285","2019-2023","2022","Census","California (State)"
"Block Group","060014058001","CA","060014058001","=""060014058001""","36667","2019-2023","2022","Census","California (State)"
"Block Group","060014058002","CA","060014058002","=""060014058002""","27903","2019-2023","2022","Census","California (State)"
"Block Group","060014058003","CA","060014058003","=""060014058003""","35228","2019-2023","2022","Census","California (State)"
"Block Group","060014058004","CA","060014058004","=""060014058004""","31253","2019-2023","2022","Census","California (State)"
"Block Group","060014059011","CA","060014059011","=""060014059011""","29064","2019-2023","2022","Census","California (State)"
"Block Group","060014059012","CA","060014059012","=""060014059012""","25116","2019-2023","2022","Census","California (State)"
"Block Group","060014059013","CA","060014059013","=""060014059013""","30495","2019-2023","2022","Census","California (State)"
"Block Group","060014059021","CA","060014059021","=""060014059021""","25650","2019-2023","2022","Census","California (State)"
"Block Group","060014059022","CA","060014059022","=""060014059022""","35967","2019-2023","2022","Census","California (State)"
"Block Group","060014060001","CA","060014060001","=""060014060001""","50717","2019-2023","2022","Census","California (State)"
"Block Group","060014060002","CA","060014060002","=""060014060002""","57704","2019-2023","2022","Census","California (State)"
"Block Group","060014060003","CA","060014060003","=""060014060003""","42677","2019-2023","2022","Census","California (State)"
