"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","869.64","2019-2023","2022","Census","California (State)"
"Block Group","060014001002","CA","060014001002","=""060014001002""","2504.56","2019-2023","2022","Census","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","8127.74","2019-2023","2022","Census","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","10316.88","2019-2023","2022","Census","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","13111.08","2019-2023","2022","Census","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","15956.07","2019-2023","2022","Census","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","10527.32","2019-2023","2022","Census","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","14084.24","2019-2023","2022","Census","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","10007.07","2019-2023","2022","Census","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","19052.20","2019-2023","2022","Census","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","19834.37","2019-2023","2022","Census","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","15501.72","2019-2023","2022","Census","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","17968.53","2019-2023","2022","Census","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","19761.96","2019-2023","2022","Census","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","17288.56","2019-2023","2022","Census","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","16672.59","2019-2023","2022","Census","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","11174.04","2019-2023","2022","Census","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","13494.66","2019-2023","2022","Census","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","13661.46","2019-2023","2022","Census","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","14377.90","2019-2023","2022","Census","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","15654.83","2019-2023","2022","Census","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","17435.35","2019-2023","2022","Census","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","16121.96","2019-2023","2022","Census","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","16548.91","2019-2023","2022","Census","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","18394.37","2019-2023","2022","Census","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","14185.74","2019-2023","2022","Census","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","24422.49","2019-2023","2022","Census","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","18428.59","2019-2023","2022","Census","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","15315.56","2019-2023","2022","Census","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","8127.32","2019-2023","2022","Census","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","11823.78","2019-2023","2022","Census","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","10206.90","2019-2023","2022","Census","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","21655.44","2019-2023","2022","Census","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","15233.25","2019-2023","2022","Census","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","18180.94","2019-2023","2022","Census","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","11858.89","2019-2023","2022","Census","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","15158.29","2019-2023","2022","Census","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","9737.28","2019-2023","2022","Census","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","9626.55","2019-2023","2022","Census","California (State)"
"Block Group","060014013002","CA","060014013002","=""060014013002""","14524.55","2019-2023","2022","Census","California (State)"
"Block Group","060014013003","CA","060014013003","=""060014013003""","19159.73","2019-2023","2022","Census","California (State)"
"Block Group","060014014001","CA","060014014001","=""060014014001""","14452.24","2019-2023","2022","Census","California (State)"
"Block Group","060014014002","CA","060014014002","=""060014014002""","24322.61","2019-2023","2022","Census","California (State)"
"Block Group","060014014003","CA","060014014003","=""060014014003""","10477.80","2019-2023","2022","Census","California (State)"
"Block Group","060014015001","CA","060014015001","=""060014015001""","19293.52","2019-2023","2022","Census","California (State)"
"Block Group","060014015002","CA","060014015002","=""060014015002""","15810.05","2019-2023","2022","Census","California (State)"
"Block Group","060014015003","CA","060014015003","=""060014015003""","12023.74","2019-2023","2022","Census","California (State)"
"Block Group","060014016001","CA","060014016001","=""060014016001""","8477.57","2019-2023","2022","Census","California (State)"
"Block Group","060014016002","CA","060014016002","=""060014016002""","13766.50","2019-2023","2022","Census","California (State)"
"Block Group","060014017001","CA","060014017001","=""060014017001""","12718.57","2019-2023","2022","Census","California (State)"
"Block Group","060014017002","CA","060014017002","=""060014017002""","5992.26","2019-2023","2022","Census","California (State)"
"Block Group","060014017003","CA","060014017003","=""060014017003""","592.85","2019-2023","2022","Census","California (State)"
"Block Group","060014018001","CA","060014018001","=""060014018001""","14211.71","2019-2023","2022","Census","California (State)"
"Block Group","060014018002","CA","060014018002","=""060014018002""","17145.61","2019-2023","2022","Census","California (State)"
"Block Group","060014022001","CA","060014022001","=""060014022001""","14522.74","2019-2023","2022","Census","California (State)"
"Block Group","060014022002","CA","060014022002","=""060014022002""","22448.85","2019-2023","2022","Census","California (State)"
"Block Group","060014022003","CA","060014022003","=""060014022003""","3179.18","2019-2023","2022","Census","California (State)"
"Block Group","060014024001","CA","060014024001","=""060014024001""","18705.91","2019-2023","2022","Census","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","23616.37","2019-2023","2022","Census","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","9216.95","2019-2023","2022","Census","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","23873.08","2019-2023","2022","Census","California (State)"
"Block Group","060014026001","CA","060014026001","=""060014026001""","10194.47","2019-2023","2022","Census","California (State)"
"Block Group","060014027001","CA","060014027001","=""060014027001""","11557.36","2019-2023","2022","Census","California (State)"
"Block Group","060014027002","CA","060014027002","=""060014027002""","15941.95","2019-2023","2022","Census","California (State)"
"Block Group","060014028011","CA","060014028011","=""060014028011""","10542.11","2019-2023","2022","Census","California (State)"
"Block Group","060014028012","CA","060014028012","=""060014028012""","100862.76","2019-2023","2022","Census","California (State)"
"Block Group","060014028013","CA","060014028013","=""060014028013""","45995.40","2019-2023","2022","Census","California (State)"
"Block Group","060014028021","CA","060014028021","=""060014028021""","20858.07","2019-2023","2022","Census","California (State)"
"Block Group","060014028022","CA","060014028022","=""060014028022""","48859.14","2019-2023","2022","Census","California (State)"
"Block Group","060014029001","CA","060014029001","=""060014029001""","8805.67","2019-2023","2022","Census","California (State)"
"Block Group","060014029002","CA","060014029002","=""060014029002""","47313.76","2019-2023","2022","Census","California (State)"
"Block Group","060014030001","CA","060014030001","=""060014030001""","28428.99","2019-2023","2022","Census","California (State)"
"Block Group","060014030002","CA","060014030002","=""060014030002""","22518.87","2019-2023","2022","Census","California (State)"
"Block Group","060014030003","CA","060014030003","=""060014030003""","19648.68","2019-2023","2022","Census","California (State)"
"Block Group","060014031001","CA","060014031001","=""060014031001""","12417.67","2019-2023","2022","Census","California (State)"
"Block Group","060014031002","CA","060014031002","=""060014031002""","21368.27","2019-2023","2022","Census","California (State)"
"Block Group","060014033011","CA","060014033011","=""060014033011""","25145.35","2019-2023","2022","Census","California (State)"
"Block Group","060014033012","CA","060014033012","=""060014033012""","22694.97","2019-2023","2022","Census","California (State)"
"Block Group","060014033021","CA","060014033021","=""060014033021""","27729.93","2019-2023","2022","Census","California (State)"
"Block Group","060014033022","CA","060014033022","=""060014033022""","5545.66","2019-2023","2022","Census","California (State)"
