"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pedestrian-oriented Road Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3apo","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","9.93","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","15.29","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002001","NY","360010002001","=""360010002001""","10.59","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002002","NY","360010002002","=""360010002002""","5.22","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002003","NY","360010002003","=""360010002003""","8.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002004","NY","360010002004","=""360010002004""","16.99","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003001","NY","360010003001","=""360010003001""","10.86","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003002","NY","360010003002","=""360010003002""","11.51","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003003","NY","360010003003","=""360010003003""","7.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003004","NY","360010003004","=""360010003004""","15.39","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","4.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","18.05","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","20.39","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","24.77","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","9.61","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","13.53","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","6.92","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","9.64","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","27.68","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","17.10","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","17.53","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","24.75","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","15.14","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","17.26","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","19.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","7.56","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","11.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","13.64","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","5.88","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","19.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","15.70","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008003","NY","360010008003","=""360010008003""","12.26","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010011001","NY","360010011001","=""360010011001""","19.20","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014001","NY","360010014001","=""360010014001""","0.98","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014002","NY","360010014002","=""360010014002""","13.55","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014003","NY","360010014003","=""360010014003""","35.81","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015001","NY","360010015001","=""360010015001""","10.96","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015002","NY","360010015002","=""360010015002""","9.82","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015003","NY","360010015003","=""360010015003""","20.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015004","NY","360010015004","=""360010015004""","16.10","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016001","NY","360010016001","=""360010016001""","3.36","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016002","NY","360010016002","=""360010016002""","10.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016003","NY","360010016003","=""360010016003""","17.52","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016004","NY","360010016004","=""360010016004""","18.48","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017001","NY","360010017001","=""360010017001""","14.45","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017002","NY","360010017002","=""360010017002""","22.92","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017003","NY","360010017003","=""360010017003""","23.68","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017004","NY","360010017004","=""360010017004""","15.15","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018011","NY","360010018011","=""360010018011""","17.93","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018012","NY","360010018012","=""360010018012""","23.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018013","NY","360010018013","=""360010018013""","17.86","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018014","NY","360010018014","=""360010018014""","17.45","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018015","NY","360010018015","=""360010018015""","5.19","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018021","NY","360010018021","=""360010018021""","17.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018022","NY","360010018022","=""360010018022""","15.14","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018023","NY","360010018023","=""360010018023""","29.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018024","NY","360010018024","=""360010018024""","21.97","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019011","NY","360010019011","=""360010019011""","24.82","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019012","NY","360010019012","=""360010019012""","15.57","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019013","NY","360010019013","=""360010019013""","18.71","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019021","NY","360010019021","=""360010019021""","22.78","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019022","NY","360010019022","=""360010019022""","21.84","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019023","NY","360010019023","=""360010019023""","12.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020001","NY","360010020001","=""360010020001""","18.02","2021","2010","EPA Smart Location Database","New York (State)"
