"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","1026.68","2019-2023","2022","Census","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","9862.91","2019-2023","2022","Census","New York (State)"
"Block Group","360010002011","NY","360010002011","=""360010002011""","2306.43","2019-2023","2022","Census","New York (State)"
"Block Group","360010002012","NY","360010002012","=""360010002012""","19854.11","2019-2023","2022","Census","New York (State)"
"Block Group","360010002013","NY","360010002013","=""360010002013""","9050.63","2019-2023","2022","Census","New York (State)"
"Block Group","360010002021","NY","360010002021","=""360010002021""","17686.35","2019-2023","2022","Census","New York (State)"
"Block Group","360010002022","NY","360010002022","=""360010002022""","1493.07","2019-2023","2022","Census","New York (State)"
"Block Group","360010003011","NY","360010003011","=""360010003011""","9601.78","2019-2023","2022","Census","New York (State)"
"Block Group","360010003012","NY","360010003012","=""360010003012""","9064.34","2019-2023","2022","Census","New York (State)"
"Block Group","360010003021","NY","360010003021","=""360010003021""","1367.93","2019-2023","2022","Census","New York (State)"
"Block Group","360010003022","NY","360010003022","=""360010003022""","2069.04","2019-2023","2022","Census","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","665.16","2019-2023","2022","Census","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","4239.49","2019-2023","2022","Census","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","10084.34","2019-2023","2022","Census","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","12370.94","2019-2023","2022","Census","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","943.52","2019-2023","2022","Census","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","7348.19","2019-2023","2022","Census","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","27221.95","2019-2023","2022","Census","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","7412.54","2019-2023","2022","Census","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","45615.38","2019-2023","2022","Census","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","17931.40","2019-2023","2022","Census","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","11700.97","2019-2023","2022","Census","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","12295.26","2019-2023","2022","Census","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","9848.52","2019-2023","2022","Census","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","16707.57","2019-2023","2022","Census","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","18251.56","2019-2023","2022","Census","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","3090.90","2019-2023","2022","Census","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","18450.88","2019-2023","2022","Census","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","8077.70","2019-2023","2022","Census","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","14801.54","2019-2023","2022","Census","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","8546.75","2019-2023","2022","Census","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","15875.22","2019-2023","2022","Census","New York (State)"
"Block Group","360010008003","NY","360010008003","=""360010008003""","5624.85","2019-2023","2022","Census","New York (State)"
"Block Group","360010011001","NY","360010011001","=""360010011001""","3086.81","2019-2023","2022","Census","New York (State)"
"Block Group","360010014001","NY","360010014001","=""360010014001""","33849.72","2019-2023","2022","Census","New York (State)"
"Block Group","360010014002","NY","360010014002","=""360010014002""","17908.18","2019-2023","2022","Census","New York (State)"
"Block Group","360010014003","NY","360010014003","=""360010014003""","5089.42","2019-2023","2022","Census","New York (State)"
"Block Group","360010014004","NY","360010014004","=""360010014004""","24759.01","2019-2023","2022","Census","New York (State)"
"Block Group","360010015001","NY","360010015001","=""360010015001""","27220.26","2019-2023","2022","Census","New York (State)"
"Block Group","360010015002","NY","360010015002","=""360010015002""","42281.02","2019-2023","2022","Census","New York (State)"
"Block Group","360010015003","NY","360010015003","=""360010015003""","28295.67","2019-2023","2022","Census","New York (State)"
"Block Group","360010015004","NY","360010015004","=""360010015004""","9535.79","2019-2023","2022","Census","New York (State)"
"Block Group","360010016001","NY","360010016001","=""360010016001""","18007.82","2019-2023","2022","Census","New York (State)"
"Block Group","360010016002","NY","360010016002","=""360010016002""","12846.02","2019-2023","2022","Census","New York (State)"
"Block Group","360010016003","NY","360010016003","=""360010016003""","7081.99","2019-2023","2022","Census","New York (State)"
"Block Group","360010016004","NY","360010016004","=""360010016004""","14040.95","2019-2023","2022","Census","New York (State)"
"Block Group","360010017001","NY","360010017001","=""360010017001""","10382.43","2019-2023","2022","Census","New York (State)"
"Block Group","360010017002","NY","360010017002","=""360010017002""","10996.44","2019-2023","2022","Census","New York (State)"
"Block Group","360010017003","NY","360010017003","=""360010017003""","7535.81","2019-2023","2022","Census","New York (State)"
