"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","114","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","80","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","183","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","5","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","1860","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","1913","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","2378","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","369","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","134","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","163","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442013","AZ","040019442013","=""040019442013""","1014","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","470","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443001","AZ","040019443001","=""040019443001""","10","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443002","AZ","040019443002","=""040019443002""","239","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443003","AZ","040019443003","=""040019443003""","18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443004","AZ","040019443004","=""040019443004""","2","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443005","AZ","040019443005","=""040019443005""","98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","367","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","228","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","69","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449015","AZ","040019449015","=""040019449015""","324","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","631","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","3108","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","4517","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","1296","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","2190","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","168","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","2144","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","414","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","402","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702001","AZ","040019702001","=""040019702001""","127","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702002","AZ","040019702002","=""040019702002""","31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702003","AZ","040019702003","=""040019702003""","574","2021","2010","EPA Smart Location Database","Arizona (State)"
