"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","88.07","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","75.78","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","89.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","68.75","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","76.47","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","93.38","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","87.39","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","89.73","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","91.70","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","84.94","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","89.32","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","84.58","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","50.86","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","92.26","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","74.44","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","89.44","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","68.86","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442023","AZ","040019442023","=""040019442023""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443011","AZ","040019443011","=""040019443011""","84.10","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443012","AZ","040019443012","=""040019443012""","92.83","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443013","AZ","040019443013","=""040019443013""","85.48","2019-2023","2022","Census","Arizona (State)"
