"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Walking to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranw","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","17.19","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","17.65","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","1.42","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","2.61","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","5.34","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","3.90","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","2.24","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","2.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","2.99","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","37.24","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","15.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","5.59","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019442023","AZ","040019442023","=""040019442023""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443011","AZ","040019443011","=""040019443011""","10.46","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443012","AZ","040019443012","=""040019443012""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443013","AZ","040019443013","=""040019443013""","5.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443021","AZ","040019443021","=""040019443021""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443022","AZ","040019443022","=""040019443022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","8.25","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","7.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","3.73","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","5.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","4.53","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","1.41","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","1.62","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","0.29","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","1.32","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","0.75","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702011","AZ","040019702011","=""040019702011""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702012","AZ","040019702012","=""040019702012""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702021","AZ","040019702021","=""040019702021""","1.14","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702022","AZ","040019702022","=""040019702022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702023","AZ","040019702023","=""040019702023""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","6.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","7.02","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001011","AZ","040030001011","=""040030001011""","5.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001021","AZ","040030001021","=""040030001021""","6.82","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","3.47","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","0.44","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","6.69","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","11.82","2019-2023","2022","Census","Arizona (State)"
