"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","2.12","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","3.20","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","6.37","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","2.83","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","4.36","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","4.85","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","5.29","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","91.13","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","279.59","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","77.77","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","4.25","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","4.71","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","17.24","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","5.28","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","77.99","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","14.50","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","158.92","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","11.72","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019442023","AZ","040019442023","=""040019442023""","17.87","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443011","AZ","040019443011","=""040019443011""","16.92","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443012","AZ","040019443012","=""040019443012""","4.07","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019443013","AZ","040019443013","=""040019443013""","5.62","2019-2023","2021","Census","Arizona (State)"
