"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","141428","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","204838","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","184186","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","199939","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","185886","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","228663","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","180926","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","180841","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","212512","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","179620","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","183248","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","182932","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","166500","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","222449","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","227326","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","190327","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","203129","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","212017","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","211905","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","164777","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","167336","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","180433","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","175114","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","190372","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","205178","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","215415","2021","2010","EPA Smart Location Database","California (State)"
