"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","10.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","18.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","17.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","17.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","17.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","16.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","18.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","14.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","16.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","12.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","14.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","16.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","18.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","18.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","17.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013002","CA","060014013002","=""060014013002""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013003","CA","060014013003","=""060014013003""","19.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014001","CA","060014014001","=""060014014001""","12.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014002","CA","060014014002","=""060014014002""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014003","CA","060014014003","=""060014014003""","18.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015001","CA","060014015001","=""060014015001""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015002","CA","060014015002","=""060014015002""","17.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015003","CA","060014015003","=""060014015003""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014016001","CA","060014016001","=""060014016001""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014016002","CA","060014016002","=""060014016002""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017001","CA","060014017001","=""060014017001""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017002","CA","060014017002","=""060014017002""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017003","CA","060014017003","=""060014017003""","5.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014018001","CA","060014018001","=""060014018001""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014018002","CA","060014018002","=""060014018002""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022001","CA","060014022001","=""060014022001""","17.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022002","CA","060014022002","=""060014022002""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022003","CA","060014022003","=""060014022003""","16.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014024001","CA","060014024001","=""060014024001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","13.33","2021","2010","EPA Smart Location Database","California (State)"
