"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014001002","CA","060014001002","=""060014001002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014013002","CA","060014013002","=""060014013002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014013003","CA","060014013003","=""060014013003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014014001","CA","060014014001","=""060014014001""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014014002","CA","060014014002","=""060014014002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014014003","CA","060014014003","=""060014014003""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014015001","CA","060014015001","=""060014015001""","0.8","2019-2023","2022","Census","California (State)"
"Block Group","060014015002","CA","060014015002","=""060014015002""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014015003","CA","060014015003","=""060014015003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014016001","CA","060014016001","=""060014016001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014016002","CA","060014016002","=""060014016002""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014017001","CA","060014017001","=""060014017001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014017002","CA","060014017002","=""060014017002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014017003","CA","060014017003","=""060014017003""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014018001","CA","060014018001","=""060014018001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014018002","CA","060014018002","=""060014018002""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014022001","CA","060014022001","=""060014022001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014022002","CA","060014022002","=""060014022002""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014022003","CA","060014022003","=""060014022003""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014024001","CA","060014024001","=""060014024001""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","0.8","2019-2023","2022","Census","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014026001","CA","060014026001","=""060014026001""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014027001","CA","060014027001","=""060014027001""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014027002","CA","060014027002","=""060014027002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014028011","CA","060014028011","=""060014028011""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014028012","CA","060014028012","=""060014028012""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014028013","CA","060014028013","=""060014028013""","0.7","2019-2023","2022","Census","California (State)"
"Block Group","060014028021","CA","060014028021","=""060014028021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014028022","CA","060014028022","=""060014028022""","0.5","2019-2023","2022","Census","California (State)"
"Block Group","060014029001","CA","060014029001","=""060014029001""","0.5","2019-2023","2022","Census","California (State)"
"Block Group","060014029002","CA","060014029002","=""060014029002""","0.5","2019-2023","2022","Census","California (State)"
"Block Group","060014030001","CA","060014030001","=""060014030001""","0.8","2019-2023","2022","Census","California (State)"
"Block Group","060014030002","CA","060014030002","=""060014030002""","0.6","2019-2023","2022","Census","California (State)"
"Block Group","060014030003","CA","060014030003","=""060014030003""","0.3","2019-2023","2022","Census","California (State)"
"Block Group","060014031001","CA","060014031001","=""060014031001""","0.8","2019-2023","2022","Census","California (State)"
"Block Group","060014031002","CA","060014031002","=""060014031002""","0.7","2019-2023","2022","Census","California (State)"
"Block Group","060014033011","CA","060014033011","=""060014033011""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014033012","CA","060014033012","=""060014033012""","0.7","2019-2023","2022","Census","California (State)"
"Block Group","060014033021","CA","060014033021","=""060014033021""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014033022","CA","060014033022","=""060014033022""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014033023","CA","060014033023","=""060014033023""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014034011","CA","060014034011","=""060014034011""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014034012","CA","060014034012","=""060014034012""","0.5","2019-2023","2022","Census","California (State)"
"Block Group","060014034013","CA","060014034013","=""060014034013""","0.6","2019-2023","2022","Census","California (State)"
"Block Group","060014034021","CA","060014034021","=""060014034021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014034022","CA","060014034022","=""060014034022""","0.7","2019-2023","2022","Census","California (State)"
"Block Group","060014035011","CA","060014035011","=""060014035011""","0.7","2019-2023","2022","Census","California (State)"
