"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","14.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002001","NY","360010002001","=""360010002001""","14.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002002","NY","360010002002","=""360010002002""","10.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002003","NY","360010002003","=""360010002003""","13.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002004","NY","360010002004","=""360010002004""","16.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003001","NY","360010003001","=""360010003001""","15.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003002","NY","360010003002","=""360010003002""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003003","NY","360010003003","=""360010003003""","12.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003004","NY","360010003004","=""360010003004""","17.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","14.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","15.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","11.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","12.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","9.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","12.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","13.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","15.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","16.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","15.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","16.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","17.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","16.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","16.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","12.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","12.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","12.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","11.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","17.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","16.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008003","NY","360010008003","=""360010008003""","14.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010011001","NY","360010011001","=""360010011001""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014001","NY","360010014001","=""360010014001""","13.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014002","NY","360010014002","=""360010014002""","16.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014003","NY","360010014003","=""360010014003""","16.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015001","NY","360010015001","=""360010015001""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015002","NY","360010015002","=""360010015002""","12.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015003","NY","360010015003","=""360010015003""","11.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015004","NY","360010015004","=""360010015004""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016001","NY","360010016001","=""360010016001""","11.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016002","NY","360010016002","=""360010016002""","10.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016003","NY","360010016003","=""360010016003""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016004","NY","360010016004","=""360010016004""","15.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017001","NY","360010017001","=""360010017001""","17.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017002","NY","360010017002","=""360010017002""","14.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017003","NY","360010017003","=""360010017003""","14.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010017004","NY","360010017004","=""360010017004""","12.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018011","NY","360010018011","=""360010018011""","8.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018012","NY","360010018012","=""360010018012""","12.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018013","NY","360010018013","=""360010018013""","12.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018014","NY","360010018014","=""360010018014""","15.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018015","NY","360010018015","=""360010018015""","9.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018021","NY","360010018021","=""360010018021""","10.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018022","NY","360010018022","=""360010018022""","8.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018023","NY","360010018023","=""360010018023""","12.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010018024","NY","360010018024","=""360010018024""","16.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019011","NY","360010019011","=""360010019011""","14.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019012","NY","360010019012","=""360010019012""","8.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019013","NY","360010019013","=""360010019013""","10.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019021","NY","360010019021","=""360010019021""","12.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019022","NY","360010019022","=""360010019022""","11.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010019023","NY","360010019023","=""360010019023""","9.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020001","NY","360010020001","=""360010020001""","14.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020002","NY","360010020002","=""360010020002""","15.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020003","NY","360010020003","=""360010020003""","11.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020004","NY","360010020004","=""360010020004""","17.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020005","NY","360010020005","=""360010020005""","10.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021001","NY","360010021001","=""360010021001""","15.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021002","NY","360010021002","=""360010021002""","13.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021003","NY","360010021003","=""360010021003""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010022001","NY","360010022001","=""360010022001""","13.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010022002","NY","360010022002","=""360010022002""","14.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010023001","NY","360010023001","=""360010023001""","15.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010023002","NY","360010023002","=""360010023002""","16.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025001","NY","360010025001","=""360010025001""","15.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025002","NY","360010025002","=""360010025002""","17.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025003","NY","360010025003","=""360010025003""","17.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025004","NY","360010025004","=""360010025004""","11.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025005","NY","360010025005","=""360010025005""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026001","NY","360010026001","=""360010026001""","15.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026002","NY","360010026002","=""360010026002""","14.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026003","NY","360010026003","=""360010026003""","13.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026004","NY","360010026004","=""360010026004""","12.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127001","NY","360010127001","=""360010127001""","13.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127002","NY","360010127002","=""360010127002""","15.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127003","NY","360010127003","=""360010127003""","10.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128001","NY","360010128001","=""360010128001""","13.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128002","NY","360010128002","=""360010128002""","12.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128003","NY","360010128003","=""360010128003""","16.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128004","NY","360010128004","=""360010128004""","18.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129001","NY","360010129001","=""360010129001""","10.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129002","NY","360010129002","=""360010129002""","18.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129003","NY","360010129003","=""360010129003""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129004","NY","360010129004","=""360010129004""","14.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130001","NY","360010130001","=""360010130001""","6.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130002","NY","360010130002","=""360010130002""","9.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130003","NY","360010130003","=""360010130003""","14.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130004","NY","360010130004","=""360010130004""","11.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130005","NY","360010130005","=""360010130005""","12.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131001","NY","360010131001","=""360010131001""","13.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131002","NY","360010131002","=""360010131002""","15.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131003","NY","360010131003","=""360010131003""","15.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132001","NY","360010132001","=""360010132001""","17.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132002","NY","360010132002","=""360010132002""","14.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132003","NY","360010132003","=""360010132003""","18.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132004","NY","360010132004","=""360010132004""","14.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132005","NY","360010132005","=""360010132005""","15.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133001","NY","360010133001","=""360010133001""","15.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133002","NY","360010133002","=""360010133002""","16.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133003","NY","360010133003","=""360010133003""","13.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133004","NY","360010133004","=""360010133004""","12.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134001","NY","360010134001","=""360010134001""","15.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134002","NY","360010134002","=""360010134002""","15.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134003","NY","360010134003","=""360010134003""","15.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135031","NY","360010135031","=""360010135031""","13.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135032","NY","360010135032","=""360010135032""","7.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135033","NY","360010135033","=""360010135033""","5.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135051","NY","360010135051","=""360010135051""","16.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135052","NY","360010135052","=""360010135052""","11.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135061","NY","360010135061","=""360010135061""","7.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135062","NY","360010135062","=""360010135062""","8.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135063","NY","360010135063","=""360010135063""","14.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135071","NY","360010135071","=""360010135071""","9.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135072","NY","360010135072","=""360010135072""","6.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135081","NY","360010135081","=""360010135081""","7.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135082","NY","360010135082","=""360010135082""","12.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135083","NY","360010135083","=""360010135083""","9.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136011","NY","360010136011","=""360010136011""","10.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136012","NY","360010136012","=""360010136012""","11.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136013","NY","360010136013","=""360010136013""","8.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136014","NY","360010136014","=""360010136014""","5.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136015","NY","360010136015","=""360010136015""","4.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136021","NY","360010136021","=""360010136021""","14.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136022","NY","360010136022","=""360010136022""","13.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136023","NY","360010136023","=""360010136023""","13.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137031","NY","360010137031","=""360010137031""","13.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137051","NY","360010137051","=""360010137051""","8.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137052","NY","360010137052","=""360010137052""","9.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137053","NY","360010137053","=""360010137053""","14.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137054","NY","360010137054","=""360010137054""","13.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137061","NY","360010137061","=""360010137061""","9.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137071","NY","360010137071","=""360010137071""","8.83","2021","2010","EPA Smart Location Database","New York (State)"
