"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","43.46","2019-2023","2022","Census","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","56.70","2019-2023","2022","Census","New York (State)"
"Block Group","360010002011","NY","360010002011","=""360010002011""","88.00","2019-2023","2022","Census","New York (State)"
"Block Group","360010002012","NY","360010002012","=""360010002012""","54.53","2019-2023","2022","Census","New York (State)"
"Block Group","360010002013","NY","360010002013","=""360010002013""","18.78","2019-2023","2022","Census","New York (State)"
"Block Group","360010002021","NY","360010002021","=""360010002021""","72.42","2019-2023","2022","Census","New York (State)"
"Block Group","360010002022","NY","360010002022","=""360010002022""","75.15","2019-2023","2022","Census","New York (State)"
"Block Group","360010003011","NY","360010003011","=""360010003011""","26.95","2019-2023","2022","Census","New York (State)"
"Block Group","360010003012","NY","360010003012","=""360010003012""","71.49","2019-2023","2022","Census","New York (State)"
"Block Group","360010003021","NY","360010003021","=""360010003021""","73.17","2019-2023","2022","Census","New York (State)"
"Block Group","360010003022","NY","360010003022","=""360010003022""","66.26","2019-2023","2022","Census","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","77.91","2019-2023","2022","Census","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","83.99","2019-2023","2022","Census","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","59.04","2019-2023","2022","Census","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","90.66","2019-2023","2022","Census","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","78.38","2019-2023","2022","Census","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","43.92","2019-2023","2022","Census","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","56.25","2019-2023","2022","Census","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","69.32","2019-2023","2022","Census","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","57.22","2019-2023","2022","Census","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","87.72","2019-2023","2022","Census","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","43.39","2019-2023","2022","Census","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","64.20","2019-2023","2022","Census","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","23.67","2019-2023","2022","Census","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","31.46","2019-2023","2022","Census","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","52.43","2019-2023","2022","Census","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","91.32","2019-2023","2022","Census","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","89.28","2019-2023","2022","Census","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","42.62","2019-2023","2022","Census","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","57.49","2019-2023","2022","Census","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","28.85","2019-2023","2022","Census","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","20.16","2019-2023","2022","Census","New York (State)"
