"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Who Took Public Transit to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranpt","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","35.98","2019-2023","2022","Census","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","25.84","2019-2023","2022","Census","New York (State)"
"Block Group","360010002011","NY","360010002011","=""360010002011""","0.00","2019-2023","2022","Census","New York (State)"
"Block Group","360010002012","NY","360010002012","=""360010002012""","37.84","2019-2023","2022","Census","New York (State)"
"Block Group","360010002013","NY","360010002013","=""360010002013""","0.00","2019-2023","2022","Census","New York (State)"
"Block Group","360010002021","NY","360010002021","=""360010002021""","21.67","2019-2023","2022","Census","New York (State)"
"Block Group","360010002022","NY","360010002022","=""360010002022""","13.12","2019-2023","2022","Census","New York (State)"
"Block Group","360010003011","NY","360010003011","=""360010003011""","43.22","2019-2023","2022","Census","New York (State)"
"Block Group","360010003012","NY","360010003012","=""360010003012""","28.51","2019-2023","2022","Census","New York (State)"
"Block Group","360010003021","NY","360010003021","=""360010003021""","4.09","2019-2023","2022","Census","New York (State)"
"Block Group","360010003022","NY","360010003022","=""360010003022""","17.11","2019-2023","2022","Census","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","0.31","2019-2023","2022","Census","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","1.31","2019-2023","2022","Census","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","19.97","2019-2023","2022","Census","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","0.00","2019-2023","2022","Census","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","6.88","2019-2023","2022","Census","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","10.57","2019-2023","2022","Census","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","24.13","2019-2023","2022","Census","New York (State)"
