"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","36109","2019-2023","2022","Census","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","16269","2019-2023","2022","Census","New York (State)"
"Block Group","360010002011","NY","360010002011","=""360010002011""","33479","2019-2023","2022","Census","New York (State)"
"Block Group","360010002012","NY","360010002012","=""360010002012""","17771","2019-2023","2022","Census","New York (State)"
"Block Group","360010002013","NY","360010002013","=""360010002013""","52798","2019-2023","2022","Census","New York (State)"
"Block Group","360010002021","NY","360010002021","=""360010002021""","17909","2019-2023","2022","Census","New York (State)"
"Block Group","360010002022","NY","360010002022","=""360010002022""","59280","2019-2023","2022","Census","New York (State)"
"Block Group","360010003011","NY","360010003011","=""360010003011""","22818","2019-2023","2022","Census","New York (State)"
"Block Group","360010003012","NY","360010003012","=""360010003012""","22978","2019-2023","2022","Census","New York (State)"
"Block Group","360010003021","NY","360010003021","=""360010003021""","42590","2019-2023","2022","Census","New York (State)"
"Block Group","360010003022","NY","360010003022","=""360010003022""","66565","2019-2023","2022","Census","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","48674","2019-2023","2022","Census","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","53733","2019-2023","2022","Census","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","43475","2019-2023","2022","Census","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","47274","2019-2023","2022","Census","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","52312","2019-2023","2022","Census","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","6445","2019-2023","2022","Census","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","19656","2019-2023","2022","Census","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","46652","2019-2023","2022","Census","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","12209","2019-2023","2022","Census","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","23238","2019-2023","2022","Census","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","9950","2019-2023","2022","Census","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","34348","2019-2023","2022","Census","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","21684","2019-2023","2022","Census","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","17207","2019-2023","2022","Census","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","14797","2019-2023","2022","Census","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","30822","2019-2023","2022","Census","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","32331","2019-2023","2022","Census","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","26033","2019-2023","2022","Census","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","21416","2019-2023","2022","Census","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","27903","2019-2023","2022","Census","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","21497","2019-2023","2022","Census","New York (State)"
"Block Group","360010008003","NY","360010008003","=""360010008003""","29394","2019-2023","2022","Census","New York (State)"
"Block Group","360010011001","NY","360010011001","=""360010011001""","39983","2019-2023","2022","Census","New York (State)"
"Block Group","360010014001","NY","360010014001","=""360010014001""","67338","2019-2023","2022","Census","New York (State)"
"Block Group","360010014002","NY","360010014002","=""360010014002""","74095","2019-2023","2022","Census","New York (State)"
"Block Group","360010014003","NY","360010014003","=""360010014003""","49507","2019-2023","2022","Census","New York (State)"
"Block Group","360010014004","NY","360010014004","=""360010014004""","61663","2019-2023","2022","Census","New York (State)"
"Block Group","360010015001","NY","360010015001","=""360010015001""","21089","2019-2023","2022","Census","New York (State)"
"Block Group","360010015002","NY","360010015002","=""360010015002""","23509","2019-2023","2022","Census","New York (State)"
"Block Group","360010015003","NY","360010015003","=""360010015003""","20890","2019-2023","2022","Census","New York (State)"
